Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1963 00:00,01.01.2019 00:00]
Werte:
18.01.1977 05:00:00;   120
04.02.1977 01:00:00;   118
27.03.1977 20:00:00;   125
30.04.1977 18:00:00;   158
20.05.1977 16:00:00;   212
14.06.1977 22:00:00;   214
31.07.1977 20:00:00;   275
01.08.1977 02:00:00;   256
09.09.1977 01:00:00;   196
09.10.1977 19:00:00;   157
02.11.1977 20:00:00;   135
26.12.1977 00:00:00;   120
01.01.1978 00:00:00;   119
23.02.1978 06:00:00;   117
31.03.1978 23:59:55;   124
30.04.1978 21:00:00;   140
22.05.1978 15:00:00;   194
11.06.1978 18:00:00;   215
05.07.1978 05:00:00;   234
08.08.1978 01:00:00;   278
08.09.1978 10:00:00;   198
03.10.1978 19:00:00;   182
01.11.1978 00:00:00;   135
09.12.1978 17:00:00;   121
01.01.1979 00:00:00;   118
12.02.1979 16:30:00;   116
17.03.1979 04:00:00;   119
19.04.1979 03:30:00;   129
31.05.1979 17:00:00;   214
12.06.1979 00:00:00;   228
10.07.1979 06:00:00;   247
03.08.1979 23:30:00;   229
22.09.1979 11:00:00;   229
15.10.1979 07:30:00;   207
28.11.1979 16:00:00;   138
01.12.1979 00:00:00;   133
01.01.1980 00:00:00;   124
01.02.1980 00:00:00;   117
30.03.1980 23:00:00;   121
18.04.1980 05:00:00;   129
26.05.1980 19:00:00;   169
14.06.1980 19:30:00;   231
09.07.1980 16:30:00;   251
08.08.1980 14:30:00;   242
23.09.1980 14:00:00;   200
17.10.1980 16:30:00;   249
01.11.1980 00:00:00;   142
01.12.1980 00:00:00;   134
12.01.1981 01:00:00;   132
01.02.1981 00:00:00;   125
31.03.1981 23:59:55;   144
15.04.1981 19:00:00;   168
27.05.1981 03:30:00;   231
29.06.1981 02:30:00;   245
18.07.1981 16:30:00;   281
16.08.1981 22:00:00;   224
13.09.1981 21:00:00;   205
11.10.1981 14:30:00;   159
02.11.1981 17:30:00;   149
01.12.1981 00:00:00;   125
01.01.1982 00:00:00;   121
19.02.1982 00:00:00;   116
31.03.1982 23:59:55;   121
07.04.1982 15:30:00;   134
31.05.1982 21:00:00;   199
26.06.1982 19:00:00;   241
31.07.1982 15:00:00;   253
13.08.1982 23:00:00;   254
07.09.1982 13:30:00;   226
01.10.1982 22:00:00;   171
13.11.1982 22:30:00;   144
01.12.1982 00:00:00;   135
01.01.1983 00:00:00;   131
01.02.1983 00:00:00;   129
20.03.1983 21:30:00;   131
27.04.1983 16:30:00;   160
23.05.1983 00:00:00;   207
06.06.1983 21:00:00;   222
05.07.1983 20:00:00;   227
02.08.1983 01:30:00;   239
25.09.1983 09:00:00;   211
11.10.1983 16:00:00;   169
01.11.1983 00:30:00;   135
07.12.1983 20:30:00;   132
01.01.1984 00:00:00;   128
01.02.1984 00:00:00;   124
30.03.1984 00:00:00;   125
27.04.1984 20:15:00;   137
21.05.1984 03:00:00;   187
22.06.1984 13:30:00;   204
12.07.1984 17:30:00;   236
06.08.1984 02:45:00;   220
06.09.1984 01:30:00;   228
02.10.1984 12:45:00;   180
01.11.1984 00:00:00;   131
11.12.1984 04:30:00;   124
03.01.1985 07:30:00;   120
02.02.1985 02:30:00;   120
08.03.1985 22:30:00;   117
26.04.1985 18:45:00;   138
27.05.1985 18:45:00;   196
07.06.1985 21:15:00;   224
27.07.1985 21:15:00;   238
06.08.1985 14:45:00;   313
04.09.1985 01:45:00;   197
05.10.1985 16:45:00;   154
10.11.1985 23:30:00;   123
01.12.1985 00:00:00;   110
07.01.1986 04:45:00;   108
10.02.1986 04:45:00;   107
31.03.1986 23:45:00;   109
25.04.1986 19:45:00;   145
21.05.1986 20:45:00;   216
24.06.1986 03:30:00;   211
06.07.1986 19:45:00;   217
18.08.1986 22:30:00;   206
17.09.1986 16:15:00;   148
06.10.1986 18:00:00;   127
01.11.1986 00:00:00;    85
01.12.1986 00:00:00;    76
12.01.1987 22:45:00;    75
12.02.1987 00:45:00;    73
28.03.1987 02:30:00;    76
30.04.1987 18:30:00;   120
01.05.1987 18:30:00;   131
15.06.1987 18:45:00;   204
19.07.1987 17:00:00;   270
25.08.1987 06:30:00;   330
26.09.1987 23:00:00;   168
12.10.1987 02:45:00;   176
16.11.1987 11:45:00;    89
24.12.1987 02:30:00;    85
01.01.1988 00:00:00;    79
01.02.1988 00:00:00;    74
01.03.1988 00:00:00;    73
23.04.1988 21:30:00;    99
18.05.1988 03:45:00;   140
30.06.1988 18:15:00;   152
27.07.1988 15:30:00;   206
20.08.1988 20:45:00;   198
06.09.1988 18:00:00;   186
12.10.1988 16:45:00;   125
01.11.1988 00:00:00;    70
01.12.1988 00:00:00;    66
01.01.1989 00:00:00;    63
19.02.1989 19:00:00;    67
30.03.1989 18:45:00;    92
05.04.1989 09:00:00;    91
30.05.1989 19:45:00;   132
23.06.1989 08:45:00;   155
24.07.1989 20:15:00;   198
17.08.1989 18:15:00;   170
16.09.1989 07:30:00;   132
01.10.1989 00:00:00;    85
01.11.1989 00:00:00;    82
19.12.1989 12:15:00;    91
01.01.1990 00:00:00;    62
26.02.1990 00:45:00;    69
22.03.1990 19:30:00;    82
02.04.1990 20:00:00;    83
22.05.1990 20:30:00;   138
27.06.1990 16:15:00;   172
18.07.1990 00:30:00;   222
06.08.1990 19:00:00;   157
24.09.1990 09:45:00;   135
02.10.1990 07:00:00;   121
01.11.1990 06:15:00;    77
01.12.1990 00:00:00;    64
01.01.1991 00:00:00;    57
26.02.1991 18:45:00;    58
24.03.1991 21:30:00;    77
16.04.1991 21:45:00;    85
23.05.1991 08:45:00;   109
17.06.1991 20:15:00;   279
15.07.1991 02:15:00;   210
03.08.1991 07:15:00;   236
30.09.1991 20:00:00;   150
01.10.1991 01:45:00;   143
05.11.1991 01:45:00;    87
23.12.1991 06:30:00;   103
01.01.1992 00:00:00;    75
01.02.1992 00:00:00;    73
06.03.1992 01:00:00;    75
29.04.1992 01:45:00;   119
31.05.1992 22:15:00;   159
20.06.1992 15:15:00;   186
29.07.1992 22:30:00;   197
30.08.1992 03:15:00;   206
01.09.1992 02:00:00;   196
05.10.1992 18:45:00;   164
23.11.1992 13:00:00;   104
01.12.1992 01:00:00;    86
01.01.1993 00:00:00;    78
01.02.1993 00:00:00;    76
21.03.1993 20:15:00;    90
27.04.1993 21:15:00;   125
27.05.1993 20:15:00;   173
23.06.1993 00:30:00;   191
19.07.1993 23:00:00;   198
23.08.1993 09:00:00;   182
14.09.1993 05:15:00;   192
14.10.1993 13:30:00;   178
07.11.1993 16:45:00;    96
01.12.1993 00:00:00;    82
08.01.1994 17:30:00;    78
07.02.1994 15:15:00;    74
25.03.1994 19:00:00;   110
30.04.1994 19:30:00;   123
25.05.1994 17:30:00;   170
26.06.1994 18:00:00;   188
06.07.1994 23:00:00;   203
11.08.1994 23:30:00;   183
08.09.1994 20:30:00;   199
03.10.1994 07:00:00;   136
20.11.1994 14:00:00;   121
11.12.1994 14:15:00;   110
02.01.1995 12:00:00;    79
01.02.1995 00:00:00;    76
26.03.1995 00:00:00;    77
23.04.1995 19:15:00;   115
27.05.1995 19:30:00;   164
26.06.1995 05:30:00;   194
03.07.1995 20:45:00;   206
08.08.1995 22:00:00;   182
08.09.1995 21:30:00;   165
01.10.1995 23:45:00;   128
01.11.1995 03:15:00;    91
01.12.1995 00:15:00;    83
01.01.1996 00:00:00;    79
01.02.1996 00:00:00;    77
25.03.1996 23:00:00;    83
23.04.1996 22:15:00;   123
19.05.1996 21:15:00;   172
12.06.1996 16:00:00;   187
08.07.1996 06:45:00;   229
28.08.1996 09:30:00;   205
05.09.1996 11:00:00;   126
16.10.1996 00:15:00;   174
14.11.1996 05:45:00;   110
01.12.1996 00:00:00;    86
01.01.1997 00:00:05;    79
01.02.1997 00:00:00;    76
11.03.1997 19:45:00;    92
28.04.1997 22:00:00;    95
19.05.1997 18:45:00;   160
27.06.1997 20:15:00;   210
29.07.1997 01:00:00;   184
29.08.1997 01:15:00;   186
07.09.1997 14:45:00;   168
11.10.1997 00:45:00;   163
07.11.1997 07:45:00;   151
01.12.1997 00:00:00;    83
01.01.1998 00:00:00;    81
28.02.1998 23:59:55;    81
31.03.1998 20:45:00;   100
27.04.1998 17:00:00;   126
12.05.1998 18:15:00;   156
06.06.1998 17:45:00;   192
14.07.1998 02:00:00;   217
15.08.1998 18:15:00;   218
12.09.1998 09:00:00;   223
07.10.1998 10:15:00;   185
09.11.1998 19:00:00;   123
15.12.1998 02:30:00;    90
01.01.1999 00:00:00;    78
01.02.1999 12:16:45;    75
31.03.1999 23:59:55;    84
29.04.1999 18:30:00;   118
31.05.1999 19:15:00;   178
03.06.1999 03:00:00;   199
06.07.1999 20:45:00;   196
16.08.1999 19:15:00;   217
20.09.1999 23:30:00;   229
03.10.1999 21:45:00;   151
01.11.1999 00:00:00;    98
01.12.1999 00:00:00;    83
01.01.2000 00:00:00;    77
01.02.2000 00:00:00;    75
09.03.2000 23:45:00;   104
28.04.2000 22:00:00;   135
28.05.2000 18:30:00;   166
16.06.2000 01:45:00;   191
04.07.2000 18:30:00;   213
03.08.2000 21:15:00;   196
21.09.2000 03:15:00;   215
15.10.2000 23:30:00;   174
14.11.2000 19:15:00;   144
01.12.2000 00:00:00;    89
01.01.2001 00:00:00;    84
01.02.2001 00:00:00;    78
25.03.2001 01:18:30;    94
30.04.2001 22:20:15;   117
30.05.2001 20:19:05;   197
10.06.2001 22:14:10;   212
07.07.2001 17:27:55;   208
05.08.2001 01:19:10;   213
01.09.2001 00:00:00;   152
21.10.2001 10:59:30;   125
02.11.2001 12:51:45;    90
01.12.2001 00:00:00;    81
01.01.2002 00:00:00;    78
01.02.2002 00:00:00;    77
21.03.2002 18:45:05;   102
26.04.2002 19:29:30;   111
18.05.2002 19:15:50;   163
20.06.2002 17:00:00;   191
04.07.2002 02:43:55;   190
12.08.2002 04:39:10;   254
01.09.2002 18:26:25;   218
17.10.2002 19:46:30;   140
16.11.2002 18:28:10;   177
01.12.2002 00:00:00;    97
01.01.2003 00:00:00;    82
01.02.2003 00:00:00;    79
30.03.2003 19:25:45;    98
30.04.2003 21:35:25;   154
31.05.2003 23:59:55;   171
13.06.2003 21:15:55;   224
17.07.2003 18:53:40;   203
29.08.2003 20:47:10;   218
10.09.2003 04:02:30;   171
04.10.2003 05:29:40;   142
01.11.2003 12:20:50;   109
01.12.2003 14:37:05;    87
01.01.2004 00:00:00;    80
01.02.2004 00:00:00;    79
21.03.2004 23:27:30;    89
29.04.2004 19:31:30;   120
