Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Abfluss,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1951 12:00,01.01.2019 00:00]
Werte:
04.11.1963 12:00:00;  2,17
09.12.1963 12:00:00;  4,54
30.01.1964 12:00:00; 0,410
20.02.1964 12:00:00; 0,210
31.03.1964 12:00:00; 0,280
29.04.1964 12:00:00;  2,50
14.05.1964 12:00:00;  13,4
08.06.1964 12:00:00;  30,8
31.07.1964 12:00:00;  30,3
02.08.1964 12:00:00;  35,0
17.09.1964 12:00:00;  9,98
07.10.1964 12:00:00;  2,78
25.11.1964 12:00:00;  1,04
03.12.1964 12:00:00; 0,530
10.01.1965 12:00:00; 0,240
27.02.1965 12:00:00; 0,170
31.03.1965 12:00:00; 0,310
09.04.1965 12:00:00; 0,480
19.05.1965 12:00:00;  19,6
23.06.1965 12:00:00;  36,0
01.07.1965 12:00:00;  32,7
23.08.1965 12:00:00;  26,8
02.09.1965 12:00:00;   100
02.10.1965 12:00:00;  4,15
04.11.1965 12:00:00; 0,780
10.12.1965 12:00:00; 0,480
11.01.1966 12:00:00; 0,240
14.02.1966 12:00:00; 0,170
31.03.1966 12:00:00; 0,210
30.04.1966 12:00:00;  3,33
06.05.1966 12:00:00;  13,3
19.06.1966 12:00:00;  24,6
23.07.1966 12:00:00;  29,2
18.08.1966 12:00:00;  57,0
08.09.1966 12:00:00;  10,1
04.10.1966 12:00:00;  8,56
05.11.1966 12:00:00;  9,55
15.12.1966 12:00:00; 0,450
03.01.1967 12:00:00; 0,340
28.02.1967 12:00:00; 0,170
31.03.1967 12:00:00; 0,180
18.04.1967 12:00:00;  1,24
30.05.1967 12:00:00;  13,5
26.06.1967 12:00:00;  29,0
26.07.1967 12:00:00;  25,5
04.08.1967 12:00:00;  25,5
08.09.1967 12:00:00;  19,9
03.10.1967 12:00:00;  5,44
17.11.1967 12:00:00;  1,77
03.12.1967 12:00:00; 0,540
20.01.1968 12:00:00; 0,240
29.02.1968 12:00:00; 0,150
31.03.1968 12:00:00; 0,590
24.04.1968 12:00:00;  9,98
06.05.1968 12:00:00;  20,1
